"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2017-05-31,77216,"44512","OH","Youngstown","Mahoning","Boardman",1644,103700,0.00875486381322957,0.0318407960199005,0.0950369588173178,0.0326748745389842,0.00485218495617068,"2006-04","2006-Q2",111300,-0.0682839173405211,"2003-11"
2017-05-31,84650,"60653","IL","Chicago","Cook","Chicago",1645,223400,0.00224315836698071,0.00314324202963628,0.0122338015405528,0.0270398180707718,-0.0208152518175687,"2007-02","2007-Q1",278100,-0.196691837468536,"2003-03"
2017-05-31,81299,"53219","WI","Milwaukee","Milwaukee","Milwaukee",1646,130700,0.00538461538461538,0.0250980392156863,0.0992430613961312,0.0362192431690103,-0.0175394990693049,"2006-09","2006-Q3",158800,-0.176952141057934,"2003-09"
2017-05-31,88949,"71203","LA","Monroe","Ouachita","Monroe",1647,132700,0.0106626047220107,0.00226586102719033,0.110460251046025,0.0542396542499501,0.00943974152624105,"2017-05","2017-Q2",132700,0,"2017-05"
2017-05-31,99131,"97217","OR","Portland","Multnomah","Portland",1648,431900,-0.00460935699469924,-0.0116704805491991,0.0511073253833049,0.127431929224777,0.0491912862411554,"2017-02","2017-Q1",437000,-0.0116704805491991,"2017-01"
2017-05-31,72474,"33172","FL","Miami-Fort Lauderdale","Miami-Dade","Fountainbleau",1649,168600,0.00596658711217184,0.00536672629695885,0.0933852140077821,0.140431560464874,-0.0236538672648564,"2007-10","2007-Q4",215200,-0.216542750929368,"2005-06"
2017-05-31,81176,"53051","WI","Milwaukee","Waukesha","Menomonee Falls",1650,237900,0.0123404255319149,0.0110497237569061,0.0658602150537634,0.0396137172865676,0.00739598778534045,"2017-05","2017-Q2",237900,0,"2017-05"
2017-05-31,95914,"89436","NV","Reno","Washoe","Sparks",1651,329500,0.00826193390452876,0.0179178251467408,0.0588046272493573,0.141111689255814,-0.000242468445192268,"2005-11","2005-Q4",385300,-0.144822216454711,"2004-11"
2017-05-31,98957,"96826","HI","Urban Honolulu","Honolulu","Honolulu",1652,431700,0.00185657925272685,0.0091164095371669,0.0549853372434018,0.0530993555505268,0.0149132005812536,"2017-05","2017-Q2",431700,0,"2017-05"
2017-05-31,86152,"63701","MO","Cape Girardeau","Cape Girardeau","Cape Girardeau",1653,144600,-0.0020703933747412,-0.00958904109589041,-0.0236326806212019,0.0232531143331671,,"2016-05","2016-Q2",148100,-0.0236326806212019,"2016-04"
2017-05-31,58653,"02139","MA","Boston","Middlesex","Cambridge",1654,717400,0.00631224575676813,0.0241256245538901,0.0897766975543066,0.110074050669732,0.0605286558494131,"2017-05","2017-Q2",717400,0,"2017-05"
2017-05-31,69379,"27520","NC","Raleigh","Johnston","Clayton",1655,166600,0.00786448880822747,0.0341402855369336,0.0888888888888889,0.0403543717701547,0.0145442029353802,"2017-05","2017-Q2",166600,0,"2017-05"
2017-05-31,96046,"90065","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",1656,744200,0.00771834800270819,0.0271911663216011,0.0773016792125072,0.114707173804298,0.0245897272554549,"2017-05","2017-Q2",744200,0,"2017-05"
2017-05-31,94279,"83706","ID","Boise City","Ada","Boise",1657,218400,0.00784494693124135,0.0311614730878187,0.0833333333333333,0.0939512580351836,0.00364338546876875,"2017-05","2017-Q2",218400,0,"2017-05"
2017-05-31,58644,"02130","MA","Boston","Suffolk","Boston",1658,578200,0.0179577464788732,0.0510816215233594,0.138188976377953,0.0956502684442442,0.0514199048409429,"2017-05","2017-Q2",578200,0,"2017-05"
2017-05-31,91252,"76107","TX","Dallas-Fort Worth","Tarrant","Fort Worth",1659,230100,-0.000434404865334492,0.0127640845070423,0.0737284181054596,0.086462162779898,0.0525318224499898,"2017-04","2017-Q2",230200,-0.000434404865334492,"2017-04"
2017-05-31,73051,"34232","FL","North Port-Sarasota-Bradenton","Sarasota","Sarasota",1660,214900,-0.00739030023094688,-0.0196167883211679,0.0826196473551637,0.13458761098358,-0.00293034248132173,"2006-05","2006-Q2",254000,-0.153937007874016,"2005-06"
2017-05-31,96858,"92395","CA","Riverside","San Bernardino","Victorville",1661,217000,0.00789595912679981,0.028436018957346,0.129619989588756,0.143682925866512,-0.0284478489975861,"2006-08","2006-Q3",309800,-0.299548095545513,"2004-12"
2017-05-31,70925,"30152","GA","Atlanta","Cobb","Kennesaw",1662,250000,-0.00239425379090184,-0.00119856172592889,0.0292301358583779,0.0693367655656461,0.0105917512032914,"2017-03","2017-Q1",251000,-0.00398406374501992,"2017-02"
2017-05-31,70823,"30038","GA","Atlanta","Dekalb","Lithonia",1663,114200,-0.00174825174825175,0.00351493848857645,0.130693069306931,0.130303548347005,-0.0182530591588482,"2006-09","2006-Q3",142800,-0.200280112044818,"2000-03"
2017-05-31,93035,"79705","TX","Midland","Midland","Midland",1664,226700,0.00354138999557326,0.00890075656430797,0.018418688230009,0.053493166823722,0.0379514717976643,"2017-05","2017-Q2",226700,0,"2017-05"
2017-05-31,84464,"60409","IL","Chicago","Cook","Calumet City",1665,83600,-0.00476190476190476,-0.0210772833723653,0.0829015544041451,0.0340877007243792,-0.0473559687511461,"2007-04","2007-Q2",135900,-0.384841795437822,"1999-11"
2017-05-31,96424,"91423","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",1666,992200,-0.00110741971207087,0.00475949367088608,0.0908091468777485,0.0961058216481456,0.0194938068560921,"2017-04","2017-Q2",993300,-0.00110741971207087,"2017-04"
2017-05-31,96594,"92025","CA","San Diego","San Diego","Escondido",1667,513600,0.0124186871673566,0.0307043949428055,0.0913727156821079,0.0993837443376406,0.00238695875824302,"2006-01","2006-Q1",524200,-0.0202212895841282,"2005-07"
2017-05-31,58652,"02138","MA","Boston","Middlesex","Cambridge",1668,755500,0.00465425531914894,0.0224658275815401,0.0911322934719815,0.0973027303238312,0.049686172442535,"2017-05","2017-Q2",755500,0,"2017-05"
2017-05-31,88701,"70605","LA","Lake Charles","Calcasieu","Lake Charles",1669,231900,0.00216076058772688,-0.00897435897435897,0.0574555403556772,0.0641956367214618,0.0319636004052992,"2016-11","2016-Q4",240300,-0.034956304619226,"2016-09"
2017-05-31,99143,"97230","OR","Portland","Multnomah","Portland",1670,310700,0.00876623376623377,0.0223757815070747,0.123688969258589,0.117977494453338,0.0205547983096426,"2017-05","2017-Q2",310700,0,"2017-05"
2017-05-31,97951,"95050","CA","San Jose","Santa Clara","Santa Clara",1671,1008800,0.00598324690865576,0.0192987774072951,0.0339243619965153,0.131965125379752,0.0399251222041919,"2017-05","2017-Q2",1008800,0,"2017-05"
